ide,ident,libelle,obs1,obs2,ident,perimetre,adr1,adr2,codepostal,ville,tel,nom1,prenom1,tel1,poste1,nbclasses,nbplaces,nbinscrits,libelle1,libelle2,pair,pairdebut,pairfin,impair,impairdebut,impairfin,ident,libelle1,motdirec,pairdebutbis,pairfinbis,impairdebutbis,impairfinbis,etablissement,rue
11,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,S,,,1410T,RUE DU CALVAIRE,CALVAIRE,,,,,3,253
12,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,4465N,RUE HUBERT CHARPENTIER,CHARPENTIER,,,,,3,103
13,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,P,2,56,P,1,53,1470H,RUE DES CHENES,CHENES,,,,,3,32
14,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,1475N,IMPASSE DES CHERCHEVETS,CHERCHEVETS,,,,,3,34
15,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,1476P,RUE DES CHERCHEVETS,CHERCHEVETS,,,,,3,33
16,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,1490E,RUE DES CHEVREMONTS,CHEVREMONTS,,,,,3,248
17,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,3158T,RUE EMILIEN COLIN,COLIN,,,,,3,67
18,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,1545P,RUE DES COTTAGES,COTTAGES,,,,,3,48
19,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,4705Z,RUE JACQUES DECOUR,DECOUR,,,,,3,106
20,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,6120M,RUE MAURICE PAYRET DORTAIL,DORTAIL,,,,,3,267
21,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,4 182 F,RUE GUILLEMETTE FAUSSART,FAUSSART,,,,,3,94
22,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,3 515 F,RUE DU FECHERAY,FECHERAY,,,,,3,70
23,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,7165Y,CARR DES PATRIOTES FUSILLES,FUSILLES,,,,,3,161
24,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,4475Z,RUE HUCHE,HUCHE,,,,,3,104
25,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,9650Z,RUE VICTOR HUGO,HUGO,,,,,3,270
26,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,SU10E,ALLEE DES JONQUILLES,JONQUILLES,,,,,3,112
27,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,SU01E,PLACE MARCEL LEGRAS,LEGRAS,,,,,3,236
28,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,4180D,RUE GUILLAUME LENOIR,LENOIR,,,,,3,262
29,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,5135S,RUE LEROY,LEROY,,,,,3,266
30,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,5145C,RUE DE LA LIBERTE,LIBERTE,,,,,3,120
31,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,5146D,CHEMIN DE LA LIBERTE,LIBERTE,,,,,3,121
32,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,SU15E,ALLEE DES MYOSOTIS,MYOSOTIS,,,,,3,150
33,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,7136S,RUE DES PARECHAUX,PARECHAUX,,,,,3,156
34,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,7140W,RUE DES PARIGOTS,PARIGOTS,,,,,3,157
35,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,7175J,RUE DES PAVILLONS,PAVILLONS,,,,,3,163
36,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,4110C,RUE GABRIEL PHILIPPE,PHILIPPE,,,,,3,81
37,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,7 241 F,CHEMIN DES PONEYS,PONEYS,,,,,3,171
38,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,S,,,T,,,3566L,RTE DES FUSILLES DE LA RESIS,RESIS,,,,,3,238
39,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,P,42,9998,P,19,9999,3575W,AVENUE FRANKLIN ROOSEVELT,ROOSEVELT,,,,,3,78
40,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,P,2,34,P,1,35,8145N,RUE ROGER SALENGRO,SALENGRO,,T,,,3,269
41,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,8586T,VILLA DE LA STATION,STATION,,,,,3,200
42,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,9125D,RUE DE LA TERRASSE,TERRASSE,,,,,3,204
43,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,SU25E,ALLEE DES VIOLETTES,VIOLETTES,,,,,3,217
44,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,9667T,BOULEVARD WASHINGTON,WASHINGTON,,,,,3,219
45,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,640 F,RUE DU BEL AIR,AIR,,,,,2,15
46,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,0610Y,RUE DES BARTOUX,BARTOUX,,,,,2,9
47,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,0630V,RUE BEAUSEJOUR,BEAUSEJOUR,,,,,2,13
48,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,SU02E,AVENUE DE BELLEVUE,BELLEVUE,,,,,2,17
49,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,0651T,RUE DE BELLEVUE,BELLEVUE,,,,,2,242
50,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,7275T,AV PROFESSEUR LEON BERNARD,BERNARD,,,,,2,178
51,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,P,2,36,P,1,31,7170D,RUE PAUL BERT,BERT,,,,,2,162
52,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,0675U,RUE DES BOCHOUX,BOCHOUX,,,,,2,20
53,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,1497M,RUE CLAUDE BURGOD,BURGOD,,,,,2,38
54,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,S,,,1410T,RUE DU CALVAIRE,CALVAIRE,,,,,2,253
55,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,SU04E,IMPASSE DU CALVAIRE,CALVAIRE,,,,,2,228
56,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,4465N,RUE HUBERT CHARPENTIER,CHARPENTIER,,,,,2,103
57,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,P,2,56,P,1,53,1470H,RUE DES CHENES,CHENES,,,,,2,32
58,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,1475N,IMPASSE DES CHERCHEVETS,CHERCHEVETS,,,,,2,34
59,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,1476P,RUE DES CHERCHEVETS,CHERCHEVETS,,,,,2,33
60,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,1490E,RUE DES CHEVREMONTS,CHEVREMONTS,,,,,2,248
61,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,3158T,RUE EMILIEN COLIN,COLIN,,,,,2,67
62,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,1545P,RUE DES COTTAGES,COTTAGES,,,,,2,48
63,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,4705Z,RUE JACQUES DECOUR,DECOUR,,,,,2,106
64,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,6120M,RUE MAURICE PAYRET DORTAIL,DORTAIL,,,,,2,267
65,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,4 182 F,RUE GUILLEMETTE FAUSSART,FAUSSART,,,,,2,94
66,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,3 515 F,RUE DU FECHERAY,FECHERAY,,,,,2,70
67,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,7165Y,CARR DES PATRIOTES FUSILLES,FUSILLES,,,,,2,161
68,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,4475Z,RUE HUCHE,HUCHE,,,,,2,104
69,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,9650Z,RUE VICTOR HUGO,HUGO,,,,,2,270
70,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,SU10E,ALLEE DES JONQUILLES,JONQUILLES,,,,,2,112
71,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,SU01E,PLACE MARCEL LEGRAS,LEGRAS,,,,,2,236
72,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,4180D,RUE GUILLAUME LENOIR,LENOIR,,,,,2,262
73,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,5135S,RUE LEROY,LEROY,,,,,2,266
74,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,5145C,RUE DE LA LIBERTE,LIBERTE,,,,,2,120
75,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,5146D,CHEMIN DE LA LIBERTE,LIBERTE,,,,,2,121
76,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,SU15E,ALLEE DES MYOSOTIS,MYOSOTIS,,,,,2,150
77,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,7136S,RUE DES PARECHAUX,PARECHAUX,,,,,2,156
78,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,7140W,RUE DES PARIGOTS,PARIGOTS,,,,,2,157
79,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,7175J,RUE DES PAVILLONS,PAVILLONS,,,,,2,163
80,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,4110C,RUE GABRIEL PHILIPPE,PHILIPPE,,,,,2,81
81,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,7 241 F,CHEMIN DES PONEYS,PONEYS,,,,,2,171
82,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,S,,,T,,,3566L,RTE DES FUSILLES DE LA RESIS,RESIS,,,,,2,238
83,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,P,42,9998,P,19,9999,3575W,AVENUE FRANKLIN ROOSEVELT,ROOSEVELT,,,,,2,78
84,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,P,2,34,P,1,35,8145N,RUE ROGER SALENGRO,SALENGRO,,T,,,2,269
85,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,8586T,VILLA DE LA STATION,STATION,,,,,2,200
86,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,9125D,RUE DE LA TERRASSE,TERRASSE,,,,,2,204
87,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,SU25E,ALLEE DES VIOLETTES,VIOLETTES,,,,,2,217
88,COTTAGES,Périmètre Cottages,,,M/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 90,BAPTISTE,Florence,01 41 18 16 90,,7,187,166,Maternelle des Cottages,,T,,,T,,,9667T,BOULEVARD WASHINGTON,WASHINGTON,,,,,2,219
89,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,T,,,T,,,7201M,RUE CURIE,CURIE,,,,,5,52
90,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,T,,,T,,,3150J,RUE EMILE DUCLAUX,DUCLAUX,,,,,5,258
91,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,T,,,S,,,4185J,RUE GUSTAVE FLOURENS,FLOURENS,,,,,5,95
